Compound_ID,Protein_ID,Label
831,849,1
1636,1771,1
3981,3310,1
321,747,1
2895,1880,1
3060,2213,1
10140,2180,1
627,561,1
3817,206,1
6944,2949,1
3035,1402,1
7078,2949,1
4459,841,1
6897,2608,1
2095,2241,1
751,1270,1
4013,2252,1
133,403,1
322,864,1
415,1055,1
12452,280,1
1115,729,1
2538,303,1
3126,2917,1
5557,3742,1
4134,1724,1
7379,1076,1
9897,1082,1
112,236,1
604,698,1
3584,533,1
669,827,1
10703,4629,1
2649,1716,1
3275,1175,1
11758,478,1
2680,248,1
3339,1870,1
2556,478,1
750,873,1
4845,624,1
593,401,1
507,1115,1
7076,2327,1
6362,1523,1
1233,1515,1
133,416,1
10045,4484,1
4653,868,1
680,814,1
2602,301,1
5446,770,1
9715,408,1
201,816,1
4258,2261,1
316,766,1
1704,1551,1
498,19,1
8075,792,1
351,760,1
6349,1705,1
2005,1893,1
7707,1793,1
2344,1847,1
1217,874,1
6136,3812,1
1614,1742,1
12534,941,1
9681,4328,1
1087,535,1
517,648,1
3172,2938,1
4220,1632,1
3607,3095,1
10295,57,1
4276,221,1
1546,820,1
6303,1185,1
12438,1647,1
965,286,1
4270,177,1
2604,2602,1
147,556,1
2454,1840,1
7929,795,1
1506,869,1
7492,40,1
735,763,1
1540,1685,1
4358,1687,1
1820,1968,1
2572,1603,1
440,1074,1
5770,843,1
121,311,1
7350,4013,1
1772,1927,1
10519,2323,1
2735,2240,1
433,1071,1
768,1290,1
3703,1877,1
6924,2858,1
303,961,1
141,145,1
3847,838,1
2952,1191,1
1364,1580,1
9681,4341,1
9761,3812,1
3985,1482,1
4592,699,1
4031,2352,1
6596,1716,1
2289,1786,1
5510,744,1
4290,3515,1
147,569,1
1521,1648,1
499,728,1
7548,1345,1
3584,2077,1
12789,133,1
522,1126,1
168,628,1
135,451,1
6351,2299,1
604,1195,1
6287,328,1
10263,882,1
3890,2534,1
3998,2296,1
132,153,1
2138,2263,1
1038,1127,1
2454,1974,1
6408,1786,1
3324,1076,1
1538,1184,1
3525,3052,1
891,1373,1
5371,3712,1
12484,1604,1
2513,2554,1
2153,1982,1
1535,886,1
8149,1346,1
957,909,1
2868,1964,1
3728,2822,1
7298,1705,1
230,846,1
12458,1551,1
3917,3283,1
469,1091,1
450,849,1
4333,2178,1
4121,538,1
4021,3340,1
117,151,1
6583,2662,1
1571,1482,1
738,1252,1
292,906,1
1521,1661,1
736,388,1
1233,1194,1
5094,815,1
880,847,1
622,1077,1
6575,2020,1
3691,1893,1
2438,2501,1
970,740,1
9227,4241,1
9676,1364,1
1778,1933,1
4061,2594,1
5014,3680,1
6855,3242,1
6607,1191,1
301,847,1
4095,3410,1
134,441,1
3417,2263,1
2333,1697,1
2450,2511,1
1015,1422,1
237,862,1
2453,2516,1
7332,2120,1
742,1263,1
2051,2213,1
105,154,1
776,847,1
8079,68,1
7342,3976,1
1005,1084,1
9761,1034,1
1089,260,1
1175,1495,1
3262,561,1
1889,2070,1
7159,327,1
7735,3641,1
4137,2710,1
402,1050,1
787,861,1
12490,735,1
9761,4417,1
7722,2167,1
7775,3979,1
3585,3136,1
2164,1716,1
445,868,1
629,1214,1
1840,838,1
2251,1870,1
2511,777,1
117,285,1
2579,1177,1
5848,886,1
199,812,1
2045,718,1
4177,1735,1
1988,2170,1
4578,93,1
4278,1787,1
8149,1601,1
6559,1392,1
105,167,1
7247,3944,1
2597,2399,1
847,740,1
7641,2299,1
3262,574,1
6044,882,1
5636,828,1
7923,736,1
9836,2618,1
4194,3257,1
2962,2756,1
446,810,1
6630,2211,1
3421,2287,1
2540,2538,1
4245,3488,1
2768,1170,1
6302,396,1
10703,3637,1
1935,2135,1
8425,839,1
1152,743,1
3237,1914,1
1141,813,1
8081,477,1
7649,1786,1
1967,1306,1
6002,777,1
680,869,1
4006,3327,1
1220,325,1
4250,1967,1
1313,287,1
738,810,1
6020,3800,1
2763,718,1
6794,225,1
440,887,1
1997,919,1
6591,125,1
646,992,1
935,866,1
7466,1786,1
1322,1275,1
4307,1454,1
2512,318,1
750,820,1
1130,287,1
12432,4247,1
385,133,1
9676,922,1
9925,3612,1
147,490,1
1076,990,1
6081,1191,1
8149,4179,1
10389,40,1
5451,795,1
10045,1,1
5858,890,1
3604,1684,1
8119,3778,1
3373,2983,1
641,769,1
1064,872,1
135,143,1
1668,1804,1
2683,321,1
9419,478,1
1017,760,1
7684,3298,1
4556,1084,1
7742,3239,1
7687,334,1
7743,3878,1
8182,2262,1
147,382,1
10045,4552,1
3369,2460,1
1217,821,1
979,1407,1
559,821,1
4219,2401,1
991,478,1
521,300,1
6801,1409,1
9681,4275,1
6338,2173,1
5555,744,1
107,202,1
4274,3505,1
7101,883,1
4938,1041,1
4640,3599,1
2780,1543,1
748,235,1
2511,2550,1
2184,206,1
6370,3522,1
890,813,1
4061,2165,1
8149,4192,1
418,1003,1
757,957,1
9839,3787,1
13423,2568,1
2251,2367,1
3834,173,1
1045,835,1
1869,2036,1
3065,2880,1
3357,248,1
3572,2122,1
3553,1880,1
1003,838,1
1044,1401,1
3081,838,1
4139,3438,1
4927,744,1
3148,1831,1
6553,1135,1
3299,2229,1
3466,2406,1
1953,2151,1
1316,813,1
13418,4597,1
2558,1736,1
3984,1285,1
300,839,1
2218,2311,1
7552,1290,1
10045,1532,1
12591,883,1
2854,1734,1
4927,865,1
188,783,1
2041,399,1
5064,870,1
446,1078,1
1521,1595,1
7479,1687,1
163,726,1
12484,1659,1
5997,257,1
2881,561,1
2702,1084,1
2444,2509,1
3223,2476,1
3106,2894,1
6683,3702,1
10045,3868,1
3035,2425,1
4439,0,1
7741,4087,1
1144,827,1
5645,1037,1
7850,58,1
4431,3559,1
7430,1421,1
1005,897,1
3968,3303,1
2545,1285,1
7777,2697,1
8345,0,1
1192,494,1
5094,870,1
1370,766,1
1490,1585,1
6474,2437,1
3673,618,1
1804,1223,1
1350,787,1
7449,4036,1
3478,1840,1
8301,869,1
2590,883,1
6497,1603,1
3262,495,1
296,329,1
8071,1575,1
14229,1001,1
10180,134,1
758,94,1
4832,991,1
7593,1950,1
1982,2168,1
1729,1759,1
5301,3684,1
8224,770,1
1290,894,1
3294,2140,1
6571,1444,1
9957,735,1
5784,3774,1
688,974,1
323,287,1
1123,902,1
2114,257,1
226,391,1
7313,4003,1
7538,2401,1
234,740,1
817,795,1
1935,1719,1
2251,1696,1
1879,2053,1
10045,969,1
3087,1931,1
609,1031,1
8245,950,1
3754,3185,1
825,1329,1
4092,3409,1
1310,849,1
4708,3412,1
4360,2177,1
5776,1038,1
2966,2809,1
3983,1961,1
11970,646,1
528,813,1
7498,1137,1
3499,3080,1
271,928,1
3603,3137,1
222,477,1
827,328,1
5865,477,1
3270,978,1
782,814,1
3779,2316,1
751,1272,1
6592,1974,1
2442,2287,1
336,993,1
133,405,1
415,1057,1
3126,2919,1
574,821,1
6599,3855,1
1136,561,1
112,238,1
4556,897,1
1431,1381,1
1333,809,1
10703,4631,1
1787,262,1
777,628,1
5524,2291,1
653,821,1
891,878,1
2518,2174,1
3822,2743,1
1859,1040,1
351,870,1
8094,915,1
714,693,1
12438,1636,1
1373,329,1
5750,769,1
483,760,1
2864,1764,1
1233,1517,1
1016,765,1
1800,1076,1
10045,4486,1
133,418,1
2700,838,1
5859,941,1
1552,745,1
7851,901,1
7713,671,1
15337,1519,1
3241,933,1
1044,46,1
6300,3801,1
641,824,1
6912,2608,1
3206,2403,1
3698,125,1
7860,869,1
6079,2112,1
6764,0,1
222,840,1
1889,515,1
1951,2147,1
2579,1487,1
1550,820,1
1154,820,1
11842,945,1
152,552,1
6535,1345,1
1614,1744,1
2533,1785,1
1853,2026,1
5364,36,1
787,245,1
9553,883,1
10045,3560,1
7798,2327,1
3565,3100,1
12438,1649,1
464,760,1
409,824,1
6761,1513,1
2570,1788,1
469,838,1
3686,2343,1
8149,46,1
10045,4499,1
10127,862,1
11068,4597,1
1104,73,1
1678,574,1
11149,735,1
1772,1929,1
8461,4226,1
768,1292,1
596,771,1
4596,699,1
6204,1716,1
11137,388,1
9681,4343,1
5868,1501,1
7569,1285,1
3866,2287,1
7352,533,1
640,733,1
244,733,1
12484,546,1
2377,2389,1
147,571,1
3359,1961,1
1521,1650,1
3069,2882,1
6682,2401,1
4258,303,1
1343,826,1
4392,532,1
443,835,1
522,1128,1
388,899,1
135,453,1
1609,716,1
14174,326,1
544,1146,1
132,384,1
4113,2285,1
5116,1502,1
2917,1966,1
6724,533,1
380,900,1
141,389,1
14265,3598,1
891,1375,1
12484,1606,1
4051,2575,1
5061,748,1
5443,813,1
3201,1910,1
957,911,1
1003,1027,1
1588,1717,1
5526,3736,1
1307,243,1
230,848,1
10837,1277,1
7308,2166,1
2143,478,1
1570,882,1
233,328,1
1308,845,1
4021,3342,1
1870,2046,1
1208,1432,1
10922,826,1
292,908,1
4177,1603,1
3497,3076,1
880,849,1
5828,1270,1
11599,287,1
3231,2139,1
7524,2171,1
10459,772,1
9227,4243,1
12480,3190,1
9307,974,1
3536,1957,1
4035,3361,1
1015,1424,1
134,443,1
1123,957,1
2453,2518,1
1133,1379,1
171,739,1
1639,1776,1
4161,733,1
105,156,1
6034,1496,1
4028,3358,1
6858,3892,1
7801,3095,1
9685,1270,1
776,849,1
2741,2167,1
7257,1948,1
192,798,1
970,863,1
4132,3415,1
8079,70,1
1083,740,1
4413,2122,1
3584,348,1
1889,2072,1
364,760,1
7468,3299,1
528,868,1
9793,1190,1
9755,669,1
2033,481,1
6873,1140,1
519,819,1
3552,2732,1
7122,3830,1
1759,1898,1
217,454,1
585,621,1
7114,3188,1
5987,0,1
7905,3687,1
3184,764,1
5314,1183,1
1840,2008,1
6564,1967,1
6736,3242,1
7877,4113,1
2612,2524,1
7877,1898,1
3250,300,1
11915,886,1
528,760,1
3071,2809,1
11923,747,1
5524,1178,1
1575,1710,1
3758,3187,1
269,765,1
10045,1037,1
1285,1382,1
1550,862,1
4134,734,1
5915,16,1
658,1220,1
8149,4168,1
446,812,1
4510,1021,1
3889,408,1
5437,886,1
3668,3149,1
5953,1705,1
1307,848,1
1018,745,1
2487,664,1
1668,1793,1
4238,1730,1
7311,561,1
1141,815,1
7877,972,1
1521,53,1
1646,1482,1
1431,1328,1
1627,974,1
5940,2116,1
436,245,1
2962,664,1
6941,1967,1
358,820,1
3314,2284,1
10045,4541,1
738,812,1
7348,4011,1
9681,4264,1
2969,300,1
10832,1659,1
352,1005,1
935,868,1
6695,2399,1
1172,286,1
2407,2482,1
967,820,1
2811,882,1
12432,4249,1
7475,561,1
147,492,1
3526,2813,1
10045,4433,1
6454,2229,1
2251,2356,1
11922,885,1
1153,394,1
5372,1672,1
7684,3300,1
5492,771,1
2376,1075,1
3632,1933,1
5131,792,1
7742,3241,1
5994,3641,1
6825,2815,1
10045,4554,1
11979,897,1
6104,2466,1
7990,1276,1
9681,4277,1
1508,743,1
1549,744,1
2418,1193,1
2251,262,1
10045,1521,1
